Gentilini Syrah (227),Available in three work days,18.00,16.56,Gentilini Kosmetatos,Syrah,2017,750ml,13.5%
Notes White (80),Available in three work days,10.90,9.81,Gentilini Kosmetatos,Sauvignon Blanc,2011,750ml,13%
Porto Carras - Syrah (2257),Available in three work days,20.10,18.46,Porto Carras,Syrah,2007,750ml,12%
Boutari - Moschofilero (10),Available in three work days,8.20,7.38,Boutari,Moshofilero,2018,750ml,11%
Karipidis - Chardonnay (354),,15.70,14.44,Karipidis,Chardonnay,2018,750ml,12.5%
Chardonnay Lantides (1748),Available in three work days,10.10,9.09,Lantides,Chardonnay,2018,750ml,13%
Gentilini Robola Kefalonia (224),,15.10,13.59,Gentilini Kosmetatos,Robola,2018,750ml,13%
Ghi ke Ouranos (4228),,17.10,,Thymiopoulos,Krasato,2016,750ml,13%
Tselepos - Mantinea  (2028),,9.90,8.91,Tselepos,Moshofilero,2018,750ml,12%
Amalia Rose (3145),,16.30,15.00,Tselepos,Agiorgitiko,750ml,,
Gerovassiliou - Viognier (241_2017),,22.00,,Γεροβασιλείου (Κτήμα),Viognier,2017,750ml,13.5%
Dryope Estate - Reserve (52),,17.60,16.19,Dryopi,Agiorgitiko,2015,750ml,14%
Mylopotamos - Nama (2482),,11.80,10.62,Mylopotamos,Merlot,2009,750ml,15%
Delear (4291),,13.60,,Semeli,Grenache Rouge,2018,750ml,13%
Marmarias (85),,17.60,16.19,Tselepos,Chardonnay,2017,750ml,14%
Melissopetra (84),,17.60,16.19,Tselepos,Gewurztraminer,2018,750ml,12.5%
Kokkinomylos (547),,28.50,26.22,Tselepos,Merlot,2017,750ml,14%
Sgouridi Sigma - Red (2245),,10.30,9.48,Sgouridis,Syrah,2015,750ml,13.5%
Kechribari Retsina (Decanter) (3785),,2.70,,Kechris,Roditis,500ml,11.5%,
